PlantID,PlantName,Accession,ClonalGroup,Replicate,AccessionID,ExperimentID,User,GrowthLocation,TrayPosition,PlantingDate,IntoChamberDate,EmergenceDate,EarEmergenceDate,variable,value,measurement_date,ploidy
28123,BdTR2k_R1S,BdTR2k,Clone1,1,670,BVZ0049,SRE,NCRIS-2,7B5,2015-09-24,2015-10-02,2015-10-07,2015-11-25,Growth Stage,1.1,2015-10-12,dis
28124,BdTR13i_R3S,BdTR13i,Clone7,3,762,BVZ0049,SRE,NCRIS-2,7C1,2015-09-24,2015-10-02,2015-10-09,2015-11-20,Growth Stage,1.1,2015-10-12,dis
28125,BdTR3h_R2S,BdTR3h,Clone2,2,684,BVZ0049,SRE,NCRIS-2,7C2,2015-09-24,2015-10-02,2015-10-08,2015-11-20,Growth Stage,1.2,2015-10-12,dis
28126,BdTR13b_R1S,BdTR13b,Clone7,1,755,BVZ0049,SRE,NCRIS-2,7C3,2015-09-24,2015-10-02,2015-10-07,2015-11-20,Growth Stage,1.4,2015-10-12,dis
28127,BdTR5j_R2S,BdTR5j,Clone3,2,704,BVZ0049,SRE,NCRIS-2,7C4,2015-09-24,2015-10-02,2015-10-07,2015-11-25,Growth Stage,0,2015-10-12,dis
28128,GUL1-2_R3S,GUL1-2,HYB1,3,367,BVZ0049,SRE,NCRIS-2,7C5,2015-09-24,2015-10-02,2015-10-07,2015-11-11,Growth Stage,0,2015-10-12,hyb
28129,BdTR9m_R3S,BdTR9m,Clone4,3,727,BVZ0049,SRE,NCRIS-2,7D1,2015-09-24,2015-10-02,2015-10-09,2015-12-03,Growth Stage,0,2015-10-12,dis
28130,BLA1_R1S,BLA1,HYB1,1,252,BVZ0049,SRE,NCRIS-2,7D2,2015-09-24,2015-10-02,2015-10-09,2015-11-11,Growth Stage,0,2015-10-12,hyb
28131,BdTR11g_R1S,BdTR11g,Clone6,1,748,BVZ0049,SRE,NCRIS-2,7D3,2015-09-24,2015-10-02,2015-10-07,2015-11-23,Growth Stage,0,2015-10-12,dis
28132,BdTR11f_R2S,BdTR11f,Clone6,2,747,BVZ0049,SRE,NCRIS-2,7D4,2015-09-24,2015-10-02,2015-10-07,2015-11-23,Growth Stage,0,2015-10-12,dis
28133,BdTR2j_R3S,BdTR2j,Clone1,3,669,BVZ0049,SRE,NCRIS-2,8A1,2015-09-24,2015-10-02,2015-10-07,2015-11-23,Growth Stage,1.1,2015-10-12,dis
